STATION_ID,STATION_LOCATION,STATE_NAME,LATITUDE,LONGITUDE,API,CLASS,HOUR_MYT,TEMPERATURE_C,RAIN_FORECAST_SLOTS,HOTSPOT_COUNT,FRP_MW_MEAN,FRP_MW_MAX,HIGH_CONF_COUNT,HOTSPOT_COUNT_100KM,FRP_MW_MEAN_100KM,FRP_MW_MAX_100KM,HIGH_CONF_COUNT_100KM,DATA_FLAG
CA16W,"Cheras, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.10626,101.717931,60.0,Moderate,2026-05-07 09:00:00,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA16W,"Cheras, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.10626,101.717931,60.0,Moderate,2026-05-07 10:00:00,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA16W,"Cheras, W.P. KUALA LUMPUR",WP Kuala Lumpur,3.10626,101.717931,59.0,Moderate,2026-05-07 11:00:00,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA17W,"Putrajaya, W.P. PUTRAJAYA",WP Putrajaya,2.915793,101.690946,68.0,Moderate,2026-05-06 19:00:00,29.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA17W,"Putrajaya, W.P. PUTRAJAYA",WP Putrajaya,2.915793,101.690946,67.0,Moderate,2026-05-07 09:00:00,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA17W,"Putrajaya, W.P. PUTRAJAYA",WP Putrajaya,2.915793,101.690946,67.0,Moderate,2026-05-07 10:00:00,32.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA17W,"Putrajaya, W.P. PUTRAJAYA",WP Putrajaya,2.915793,101.690946,67.0,Moderate,2026-05-07 11:00:00,32.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA18B,"Kuala Selangor, SELANGOR",Selangor,3.321362,101.256249,56.0,Moderate,2026-05-06 19:00:00,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA18B,"Kuala Selangor, SELANGOR",Selangor,3.321362,101.256249,63.0,Moderate,2026-05-07 09:00:00,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA18B,"Kuala Selangor, SELANGOR",Selangor,3.321362,101.256249,64.0,Moderate,2026-05-07 10:00:00,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA18B,"Kuala Selangor, SELANGOR",Selangor,3.321362,101.256249,66.0,Moderate,2026-05-07 11:00:00,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA19B,"Petaling Jaya, SELANGOR",Selangor,3.130875,101.60868,64.0,Moderate,2026-05-06 19:00:00,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA19B,"Petaling Jaya, SELANGOR",Selangor,3.130875,101.60868,66.0,Moderate,2026-05-07 09:00:00,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA19B,"Petaling Jaya, SELANGOR",Selangor,3.130875,101.60868,66.0,Moderate,2026-05-07 10:00:00,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA19B,"Petaling Jaya, SELANGOR",Selangor,3.130875,101.60868,65.0,Moderate,2026-05-07 11:00:00,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA20B,"Shah Alam, SELANGOR",Selangor,3.10475,101.556192,69.0,Moderate,2026-05-06 19:00:00,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
CA20B,"Shah Alam, SELANGOR",Selangor,3.10475,101.556192,67.0,Moderate,2026-05-07 09:00:00,29.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
